啊 Ah
鳃 gill
塞 stopper
赛 game
三 three
叁 three
伞 umbrella
散 scattered
桑 mulberry
嗓 throat
丧 lose
搔 scratch
骚 coquettish
扫 sweep
嫂 sister-in-law
瑟 many
色 colour
涩 difficult
森 dark
僧 monk
莎 Sally
砂 sand
杀 kill
刹 stop
沙 sand
纱 yarn
傻 silly
啥 what
煞 halt
筛 sieve
晒 bask
珊 coral
苫 tarpaulin
杉 fir
山 mountain
删 delete
煽 fan
衫 garment
闪 flash
陕 Shanxi
擅 arrogate
赡 support
膳 meals
善 good
汕 weir
扇 fan
缮 repair
墒 moisture
伤 injury
商 consult
赏 reward
晌 noon
上 up
尚 still
裳 skirt
梢 tip
捎 back
稍 slightly
烧 burn
芍 peony
勺 spoon
韶 beautiful
少 little
哨 whistle
邵 beautiful
绍 continue
奢 excessive
赊 credit
蛇 snake
舌 tongue
舍 abandon
赦 pardon
摄 absorb
射 shoot
慑 fear
涉 wade
社 agency
设 establish
砷 arsenic
申 state
呻 chant
伸 stretch
身 life
深 deep
娠 contain
绅 gentry
神 deity
沈 Shen
审 careful
婶 aunt
甚 very
肾 kidney
慎 careful
渗 ooze
声 sound
生 accrue
甥 nephew
牲 animal
升 litre
绳 rope
省 province
盛 fill
剩 remain
胜 success
圣 holy
师 teacher
失 lose
狮 lion
施 use
湿 wet
诗 poem
尸 corpse
虱 louse
十 ten
石 stone
拾 collect
时 time
什 assorted
食 food
蚀 eclipse
实 real
识 know
史 history
矢 arrow
使 use
屎 shit
驶 drive
始 begin
式 type
示 show
士 bachelor
世 lifetime
柿 persimmon
事 thing
拭 wipe
誓 oath
逝 pass
势 power
是 are
嗜 addicted
噬 bite
适 fit
仕 official
侍 serve
释 release
饰 ornaments
氏 surname
市 city
恃 rely
室 room
视 regard
试 try
收 collect
手 hand
首 first
守 observe
寿 life
授 award
售 sell
受 receive
瘦 thin
兽 beast
蔬 vegetables
枢 pivot
梳 comb
殊 different
抒 express
输 lose
叔 uncle
舒 easy
淑 fair
疏 sparse
书 book
赎 redeem
孰 which
熟 ripe
薯 potato
暑 heat
曙 dawn
署 office
蜀 Shu
黍 millet
鼠 rat
属 category
术 method
述 state
树 tree
束 beam
戍 garrison
竖 vertical
墅 villa
庶 multitudinous
数 number
漱 gargle
恕 forgive
刷 brush
耍 play
摔 fall
衰 decline
甩 throw
帅 beautiful
栓 bolt
拴 tie
霜 frost
双 both
爽 frank
谁 who
水 water
睡 sleep
税 tax
吮 suck
瞬 twinkling
顺 obey
舜 Shun
说 theory
硕 large
朔 north
烁 bright
斯 this
撕 tear
嘶 neigh
思 think
私 private
司 manage
丝 silk
死 die
肆 four
寺 temple
嗣 heir
四 four
伺 watch
似 like
饲 feed
巳 Si
松 pine
耸 alarm
怂 frightened
颂 eulogy
送 present
宋 sone
讼 dispute
诵 chant
搜 search
艘 ship
擞 shake
嗽 cough
苏 Su
酥 crisp
俗 custom
素 element
速 speed
粟 millet
塑 plastic
溯 recall
宿 old
诉 tell
肃 respectful
酸 acid
蒜 garlic
算 calculate
虽 although
隋 Sui
随 follow
绥 peaceful
髓 marrow
碎 smash
岁 annum
穗 spike
遂 then
隧 tunnel
祟 ghost
孙 grandson
损 damage
笋 bamboo
蓑 straw
梭 shuttle
唆 instigate
缩 shrink
琐 trivial
索 cable
锁 lock
所 that
塌 collapse
他 he
它 it
她 she
塔 tower
獭 otter
挞 whip
蹋 tread
踏 tread
胎 tyre
苔 moss
抬 raise
台 platform
泰 safe
酞 phthalein
太 too
态 state
汰 discard
坍 collapse
摊 booth
贪 corrupt
瘫 paralysis
滩 beach
坛 altar
檀 wingceltis
痰 phlegm
潭 pond
谭 Tan
谈 talk
坦 level
毯 blanket
袒 shield
碳 carbon
探 explore
叹 sigh
炭 charcoal
汤 soup
塘 pond
搪 evade
堂 hall
棠 pear
膛 chamber
唐 Tang
糖 sugar
倘 if
躺 lie
淌 drip
趟 ranks
烫 burn
掏 hollow
涛 billows
滔 flood
绦 sheath
萄 grapes
桃 peach
逃 escape
淘 wash
陶 pottery
讨 mooch
套 cover
特 unusual
藤 vine
腾 Teng
疼 pain
誊 transcribe
梯 ladder
剔 scrape
踢 kick
锑 antimony
提 carry
题 topic
蹄 hoof
啼 cry
体 body
替 replace
嚏 sneeze
惕 fearful
涕 tears
剃 shave
屉 drawer
天 sky
添 add
填 fill
田 field
甜 sweet
恬 quiet
舔 lick
腆 rich
挑 choose
条 strip
迢 far
眺 rapid
跳 jump
贴 paste
铁 iron
帖 obedient
厅 office
听 accept
烃 hydrocarbon
汀 bar
廷 fair-minded
停 stop
亭 kiosk
庭 courtyard
挺 very
艇 boat
通 open
桐 paulownia
酮 ketone
瞳 ignorant
同 together
铜 copper
彤 red
童 child
桶 bucket
捅 poke
筒 canister
统 all
痛 ache
偷 steal
投 cast
头 head
透 penetrate
凸 raised
秃 bald
突 bulge
图 picture
徒 apprentice
途 way
涂 apply
屠 slaughter
土 soil
吐 spit
兔 rabbit
湍 rapid
团 dumpling
推 push
颓 decadent
腿 leg
蜕 exuviate
褪 fade
退 retreat
吞 swallow
屯 village
臀 buttocks
拖 pull
托 torr
脱 cast
鸵 ostrich
陀 hillock
驮 pack
驼 camel
椭 oval-shaped
妥 ready
拓 develop
唾 spit
挖 scoop
哇 wow
蛙 frog
洼 depression
娃 baby
瓦 tile
袜 socks
歪 slanting
外 outer
豌 chili
弯 bend
湾 bay
玩 play
顽 obstinate
丸 pill
烷 alkyl
完 complete
碗 bowl
挽 pull
晚 lateness
皖 Anhui
惋 sigh
宛 winding
婉 tactful
万 myriad
腕 wrist
汪 accumulate
王 king
亡 die
枉 crooked
网 net
往 past
旺 flourishing
望 hope
忘 forget
妄 absurd
威 power
巍 mighty
微 tiny
危 danger
韦 leather
违 disobey
桅 mast
围 surround
唯 only
惟 but
为 become
潍 wei
维 dimension
苇 reed
萎 wither
委 committee
伟 great
伪 fake
尾 trail
纬 weft
未 not
蔚 luxuriant
味 flavour
畏 fear
胃 stomach
喂 hello
魏 Wei
位 place
渭 river
谓 call
尉 officer
慰 comfort
卫 defend
瘟 diseases
温 temperature
蚊 mosquito
文 writing
闻 hear
纹 line
吻 kiss
稳 steady
紊 disorderly
问 ask
嗡 buzz
翁 father
瓮 urn
挝 beat
蜗 snail
涡 vortex
窝 nest
我 I
斡 round
卧 lie
握 hold
沃 fertile
巫 witch
呜 toot
钨 tungsten
乌 black
污 dirt
诬 accuse
屋 house
无 without
芜 overgrown
梧 parasol
吾 I
吴 Wu
毋 not
武 military
五 five
捂 cover
午 midday
舞 dance
伍 five
侮 bully
坞 castle
戊 wu
雾 fog
晤 meet
物 object
勿 not
务 business
悟 understand
误 error
昔 past
熙 play
析 analyse
西 Western
硒 selenium
矽 silicon
晰 clear
嘻 hippies
吸 absorb
锡 tin
牺 sacrifice
稀 rare
息 interest
希 hope
悉 all
膝 knee
夕 evening
惜 cherish
熄 extinguish
烯 alkene
溪 creek
汐 nighttide
犀 rhinoceros
檄 announce
袭 raid
席 mat
习 practise
媳 daughter-in-law
喜 happy
铣 mill
洗 wash
系 department
隙 gap
戏 play
细 fine
瞎 blind
虾 shrimp
匣 casket
霞 cloud
辖 administer
暇 leisure
峡 gorge
侠 chivalrous
狭 narrow
下 below
厦 mansion
夏 summer
吓 intimidate
掀 lift
锨 bevelling
先 earlier
仙 immortal
鲜 fresh
纤 fine
咸 salty
贤 virtuous
衔 title
舷 board
闲 idle
涎 saliva
弦 chord
嫌 suspicion
显 apparent
险 danger
现 present
献 offer
县 county
腺 gland
馅 stuffing
羡 envy
宪 constitution
陷 trap
限 limit
线 wire
相 mutually
厢 compartment
镶 edge
香 incense
箱 box
襄 assist
湘 Xiang
乡 village
翔 fly
祥 auspicious
详 detailed
想 think
响 ring
享 enjoy
项 nape
巷 lane
橡 oak
像 image
向 towards
象 elephant
萧 desolate
硝 saltpetre
霄 clouds
削 peel
哮 wheeze
嚣 clamour
销 melt
消 disappear
宵 night
淆 confuse
晓 know
小 little
孝 mourning
校 school
肖 decline
啸 howl
笑 laugh
效 effect
楔 wedge
些 some
歇 rest
蝎 scorpion
鞋 shoes
协 assist
挟 coerce
携 carry
邪 evil
斜 inclined
胁 force
谐 humorous
写 write
械 weapon
卸 discharge
蟹 crab
懈 slack
泄 discharge
泻 pour
谢 thank
屑 crumbs
薪 salary
芯 core
锌 zinc
欣 happy
辛 laborious
新 new
忻 happy
心 heart
信 true
衅 quarrel
星 star
腥 smell
猩 orangutan
惺 wise
兴 start
刑 punishment
型 model
形 shape
邢 xing
行 line
醒 wake
幸 favour
杏 apricot
性 sex
姓 surname
兄 brother
凶 fierce
胸 thorax
匈 chest
汹 turbulent
雄 hero
熊 bear
休 rest
修 repair
羞 shame
朽 rotten
嗅 smell
锈 rust
秀 beautiful
袖 sleeve
绣 embroider
墟 ruins
戌 Xu
需 need
虚 empty
嘘 hush
须 must
徐 gently
许 praise
蓄 harbour
酗 drinking
叙 talk
旭 sun
序 order
畜 livestock
恤 compensate
絮 wadding
婿 son-in-law
绪 thread
续 continue
轩 high
喧 noisy
宣 announce
悬 suspend
旋 spin
玄 mysterious
选 select
癣 tinea
眩 dizzy
绚 gorgeous
靴 boots
薛 Xue
学 study
穴 hole
雪 snow
血 blood
勋 merit
熏 smoke
循 follow
旬 period
询 ask
寻 search
驯 tame
巡 patrol
殉 buried
汛 flood
训 teach
讯 dispatch
逊 abdicate
迅 fast
压 press
押 detain
鸦 crow
鸭 duck
呀 ah
丫 bifurcation
芽 bud
牙 tooth
蚜 aphid
崖 cliff
衙 office
涯 waterside
雅 elegant
哑 dumb
亚 second
讶 surprised
焉 how
咽 pharynx
阉 castrate
烟 Yan
淹 flood
盐 salt
严 strict
研 research
蜒 slug
岩 rock
延 delay
言 speech
颜 face
阎 lane
炎 scorching
沿 along
奄 cover
掩 cover
眼 eye
衍 develop
演 act
艳 colourful
堰 weir
燕 swallow
厌 detest
砚 inkstone
雁 goose
唁 condolences
彦 Yan
焰 flame
宴 feast
谚 proverb
验 test
殃 calamity
央 end
鸯 Yang
秧 seedling
杨 poplar
扬 raise
佯 pretend
疡 ulcer
羊 sheep
洋 foreign
阳 sun
氧 oxygen
仰 admire
痒 itch
养 cultivate
样 appearance
漾 ripple
邀 invite
腰 waist
妖 demon
瑶 jade
摇 rock
尧 Yao
遥 remote
窑 kiln
谣 ballad
姚 Yao
咬 bite
舀 scoop
药 medicine
要 demand
耀 boast
椰 coco
噎 choke
耶 Yeat
爷 father
野 wild
冶 smelt
也 likewise
页 page
掖 assist
业 industry
叶 leaf
曳 drag
腋 axilla
夜 night
液 liquid
一 one
壹 one
医 doctor
揖 hand
铱 iridium
依 depend
伊 Yi
衣 clothing
颐 cheek
夷 smooth
遗 lose
移 move
仪 ceremony
胰 pancreas
疑 suspect
沂 Yi
宜 suitable
姨 aunt
彝 Yi
椅 chair
蚁 ant
倚 against
已 already
乙 second
矣 yi
以 use
艺 art
抑 restrain
易 easy
邑 city
屹 peak
亿 calculate
役 service
臆 chest
逸 escape
肄 study
疫 pestilence
亦 also
裔 descendants
意 meaning
毅 firm
忆 recall
义 righteousness
益 benefit
溢 spill
诣 visit
议 discuss
谊 friendship
译 translate
异 different
翼 wing
翌 next
绎 unravel
茵 mattress
荫 shade
因 because
殷 rich
音 sound
阴 cloudy
姻 marriage
吟 chant
银 silver
淫 obscene
寅 respectful
饮 drink
尹 administer
引 cite
隐 hidden
印 impress
英 hero
樱 cherry
婴 baby
鹰 eagle
应 answer
缨 tassel
莹 lustrous
萤 firefly
营 camp
荧 glimmering
蝇 fly
迎 welcome
赢 win
盈 full
影 shadow
颖 glume
硬 hard
映 reflect
哟 oh
拥 crowd
佣 servant
臃 swelling
痈 carbuncle
庸 commonplace
雍 harmony
踊 leap
蛹 pupa
咏 chant
泳 swim
涌 surge
永 perpetually
恿 abetted
勇 brave
用 use
幽 quiet
优 excellent
悠 leisurely
忧 worry
尤 outstanding
由 by
邮 post
铀 uranium
犹 still
油 oil
游 swim
酉 You
有 have
友 friend
右 right
佑 bless
釉 glaze
诱 lure
又 again
幼 young
迂 circuitous
淤 silt
于 at
盂 jar
榆 elm
虞 anxiety
愚 I
舆 area
余 surplus
俞 Yu
逾 exceed
鱼 fish
愉 joyful
渝 Yu
渔 fish
隅 corner
予 I
娱 amusement
雨 rain
与 with
屿 islet
禹 Yu
宇 house
语 language
羽 feather
玉 jade
域 region
芋 taro
郁 gloomy
吁 sigh
遇 meet
喻 explain
峪 valley
御 resist
愈 heal
欲 desire
狱 prison
育 raise
誉 reputation
浴 bath
寓 contain
裕 abundant
预 beforehand
豫 prepare
驭 drive
鸳 duck
渊 deep
冤 injustice
元 element
垣 wall
袁 Yuan
原 raw
援 aid
辕 shafts
园 garden
员 member
圆 circle
猿 ape
源 source
缘 reason
远 far
苑 garden
愿 will
怨 resentment
院 courtyard
曰 say
约 about
越 overstep
跃 jump
钥 key
岳 mountain
粤 Guangdong
月 month
悦 please
阅 read
耘 weed
云 cloud
郧 Yun
匀 even
陨 fall
允 permit
运 transport
蕴 accumulate
酝 wine
晕 faint
韵 rhyme
孕 pregnancy
匝 turns
砸 smash
杂 miscellaneous
栽 fall
哉 zai
灾 disaster
宰 govern
载 load
再 again
在 in
咱 I
攒 assemble
暂 temporary
赞 praise
赃 booty
脏 dirty
葬 bury
遭 suffer
糟 grain
凿 chisel
藻 algae
枣 jujube
早 morning
澡 bath
蚤 flea
躁 impetuous
噪 chirp
造 build
皂 soap
灶 kitchen
燥 dry
责 responsibility
择 choose
则 rule
泽 damp
贼 thief
怎 how
增 add
憎 hate
曾 once
赠 present
扎 prick
喳 chirp
渣 residue
札 letter
轧 roll
铡 cutter
闸 brake
眨 blink
栅 bars
榨 press
咋 how
乍 first
炸 fry
诈 cheat
摘 pick
斋 fast
宅 house
窄 narrow
债 debt
寨 stockade
瞻 look
毡 felt
詹 verbose
粘 glue
沾 wet
盏 cup
斩 cut
辗 roll
崭 towering
展 exhibit
蘸 dip
栈 inn
占 hold
战 war
站 stand
湛 deep
绽 split
樟 camphor
章 chapter
彰 clear
漳 river
张 Zhang
掌 palm
涨 rise
杖 cane
丈 measure
帐 curtain
账 account
仗 battle
胀 expand
瘴 miasma
障 obstacle
招 attract
昭 clear
找 discover
沼 ooze
赵 Zhao
照 photograph
罩 cover
兆 omen
肇 create
召 summon
遮 cover
折 break
哲 wise
蛰 hibernate
辙 rhyme
者 this
锗 germanium
蔗 sugarcane
这 this
浙 short
珍 Jane
斟 pour
真 true
甄 Zhen
砧 anvil
臻 attain
贞 chastity
针 needle
侦 detect
枕 pillow
疹 rash
诊 diagnose
震 shock
振 shake
镇 town
阵 position
蒸 steam
挣 earn
睁 open
征 levy
狰 Zheng
争 contend
怔 terrified
整 whole
拯 save
正 just
政 government
帧 frame
症 disease
郑 Zheng
证 card
芝 sweetgrass
枝 branch
支 branch
吱 squeak
蜘 found
知 know
肢 limb
脂 fat
汁 juice
之 this
织 weave
职 job
直 straight
植 plant
殖 grow
执 grasp
值 price
侄 nephew
址 site
指 finger
止 to
趾 toe
只 only
旨 purpose
纸 paper
志 will
挚 sincere
掷 flip
至 to
致 deliver
置 buy
帜 flag
峙 tower
制 make
智 wisdom
秩 rank
稚 young
质 nature
炙 roast
痔 haemorrhoids
滞 sluggish
治 cure
窒 obstruct
中 centre
盅 cup
忠 loyal
钟 clock
衷 heart
终 end
种 seed
肿 swell
重 duplicate
仲 secondary
众 numerous
舟 boat
周 week
州 state
洲 continent
诌 fabricate
粥 porridge
轴 axle
肘 elbow
帚 broom
咒 curse
皱 crinkle
宙 eon
昼 day
骤 suddenly
珠 bead
株 plant
蛛 spider
朱 scarlet
猪 pig
诸 all
诛 punish
逐 pursue
竹 bamboo
烛 candle
煮 boil
拄 lean
瞩 gaze
嘱 enjoin
主 advocate
着 burn
柱 column
助 help
蛀 moth
贮 store
铸 cast
筑 build
住 cease
注 infuse
祝 wish
驻 halt
抓 grab
爪 claw
拽 pull
专 special
砖 brick
转 turn
撰 write
赚 EARN
篆 seal
桩 pile
庄 village
装 install
妆 adorn
撞 collide
壮 strong
状 state
椎 vertebra
锥 cone
追 chase
赘 superfluous
坠 fall
缀 compose
谆 sincerely
准 standard
捉 clutch
拙 clumsy
卓 excellent
桌 table
琢 carve
茁 grow
酌 drink
啄 peck
灼 burn
浊 turbid
兹 this
咨 consult
资 capital
姿 appearance
滋 this
淄 black
孜 hard-working
紫 purple
仔 young
籽 seed
滓 sediment
子 son
自 oneself
渍 soak
字 word
鬃 hair
棕 brown
踪 trace
宗 model
综 heald
总 always
纵 endlong
邹 Zou
走 go
奏 achieve
揍 beat
租 rent
足 foot
卒 obiit
族 clan
祖 grandfather
诅 curse
阻 block
组 group
钻 drill
纂 compile
嘴 mouth
醉 drunk
最 most
罪 crime
尊 respect
遵 follow
昨 yesterday
左 left
佐 assistant
柞 oak
做 do
作 do
坐 sit
座 seat
， ,
。 .
、 ,
（ (
） )
： :
； ;
… ...
！ !
“ "
” "
— -
？ ?
《 "
》 "
– -
‘ '
’ '
． .
【 [
】 ]
